My Type,Saint Motel
F.I.G.H.T.,"Mike WiLL Made-It, Eearz, Gucci Mane, YG, Trouble, Quavo & Juicy J"
Trip,Ella Mai
Boo'd Up,Ella Mai
Signs,Drake
I Can't Even Lie (feat. Future & Nicki Minaj),DJ Khaled
A Lie (feat. The Weeknd & Max B),French Montana
Unforgettable (feat. Swae Lee),French Montana
Big Rings,Drake & Future
6 Man,Drake
Energy,Drake
10 Bands,Drake
6 God,Drake
Used To (feat. Lil Wayne),Drake
Chiraq,Meek Mill
No Smoke,YoungBoy Never Broke Again
Business Is Business,Lil Baby & Gunna
Belly,Lil Baby & Gunna
Traumatized,Meek Mill
On the Regular,Meek Mill
"Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) [Remix]",Ty Dolla $ign
Back To Back,Drake
What's Free (feat. Rick Ross & JAY-Z),Meek Mill
Going Bad (feat. Drake),Meek Mill
"Splash Warning (feat. Future, Roddy Ricch and Young Thug)",Meek Mill
Respect the Game,Meek Mill
24/7 (feat. Ella Mai),Meek Mill
Dangerous (feat. Jeremih and PnB Rock),Meek Mill
Cold Hearted II,Meek Mill
Deadz (feat. 2 Chainz),Migos
Love Me Like That (Champion Love),Ella Mai
Off White VLONE (feat. Lil Durk & NAV),Lil Baby & Gunna
Trap House,YoungBoy Never Broke Again
Am I Wrong,Nico & Vinz
Autumn Leaves (feat. Kendrick Lamar),Chris Brown
Colossal,Future
Come Down,Anderson .Paak
Cold Hearted (feat. Diddy),Meek Mill
Feel so Good,Mase
Cool Kids,Echosmith
Let's Do It Again,J Boog
Keep the Family Close,Drake
Boyfriend,Big Time Rush
Purple Pills,D12
When the Music Stops,Eminem
The Real Slim Shady,Eminem
Got Your Money (feat. Kelis),Ol' Dirty Bastard
On the Low,Burna Boy
Ph City Vibration,Burna Boy
"My Love (feat. Major Lazer, WizKid & Dua Lipa)",Wale
Fine Girl (feat. Davido & Olamide),Wale
Shutdown,Skepta
Who Dat Boy (feat. A$AP Rocky),"Tyler, The Creator"
Praise The Lord (Da Shine) [feat. Skepta],A$AP Rocky
Harambe,Young Thug
Darth Vader,"21 Savage, Offset & Metro Boomin"
can't leave without it,21 Savage
Used to This (feat. Drake),Future
Bigger Than Us (feat. Paul Rey),Dame D.O.L.L.A.
Danger,Migos & Marshmello
California Love (feat. Roger Troutman & Dr. Dre),2Pac
El Chapo Jr,2 Chainz
Cocoon,Migos
Tattoos,Young Thug
With Them,Young Thug
Digits,Young Thug
m.A.A.d city (feat. MC Eiht),Kendrick Lamar
Ready or Not,Bridgit Mendler
Hurricane,Bridgit Mendler
R U Crazy,Conor Maynard
Vegas Girl,Conor Maynard
Can't Say No,Conor Maynard
Promiscuous (feat. Timbaland),Nelly Furtado
Tek Weh Yuh Heart (feat. Tory Lanez),Sean Paul
Always On Time (feat. Ashanti),Ja Rule
Beautiful Onyinye (Remix) [feat. Rick Ross],P-Square
Kukere,Iyanya
Collabo (feat. Don Jazzy),P-Square
Shekini,P-Square
Chop My Money (Remix) [feat. May D & Akon],P-Square
Do Me (feat. Waje),P-Square
Taste the Money (Testimony),P-Square
